Stock,Purchase_Date,Purchase_Price,Quantity,Sell_Price,Sell_Date
BEL.NS,2024-06-04,291.5,11,,
BEL.NS,2024-05-14,229.65,20,,
BEL.NS,2024-04-29,236.3,20,,
HDFCBANK.NS,2024-05-21,1458.4,1,,
HDFCBANK.NS,2024-05-21,1458.4,2,,
HDFCBANK.NS,2024-05-21,1458.4,2,,
HDFCBANK.NS,2024-05-10,1445.7,5,,
HINDUNILVR.NS,2024-05-10,2346.85,5,,
RELIANCE.NS,2024-05-21,2867.95,2,,
RELIANCE.NS,2024-05-14,2829.1,4,,
ADANIPORTS.NS,2024-10-30,1406.35,1,,
ADANIPORTS.NS,2024-10-30,1408.45,2,,
ADANIPORTS.NS,2024-10-30,1408.8,3,,
BHEL.NS,2024-07-04,316.75,7,,
CDSL.NS,2024-10-30,1492.0,5,,
ITC.NS,2024-10-30,490.35,5,,
ITC.NS,2024-10-30,492.5,10,,
SBIN.NS,2024-10-30,828.25,10,,
SJVN.NS,2024-10-30,113.18,27,,
SJVN.NS,2024-10-30,113.66,23,,
SUZLON.NS,2024-10-30,69.23,100,,
TATACONSUM.NS,2024-04-29,1092.9,10,,
TATAMOTORS.NS,2024-10-30,846.3,10,,
TATAPOWER.NS,2024-10-30,428.7,15,,
TCS.NS,2024-05-14,3914.8,3,,
TVSMOTOR.NS,2024-05-14,2116.0,5,,
TVSMOTOR.NS,2024-05-10,2071.95,5,,
RELIANCE.NS,2024-11-01,0.01,6,,
BHEL.NS,2024-11-04,235.25,3,,
